"Cell","Key","Value","Improvement"
1,"Lat","53",5.19740659334985
1,"Lon","177",4.77682570661256
1,"Lon","175",3.93175975239905
1,"Lon","173",3.845444028911
1,"Lon","171",1.91388097322834
1,"Lat","51",0.767604527150695
2,"Lat","53",4.28083605632969
2,"Lon","191",4.1993731609457
2,"Lon","189",4.1431992887899
2,"Lon","203",3.10928437316579
2,"Lon","187",3.058275201063
2,"Lon","201",2.96226198870613
2,"Lon","199",2.68129043910062
2,"Lon","205",2.66516735606433
2,"Lon","197",2.5212790518799
2,"Lat","55",2.44470417637331
2,"Lon","193",2.39727343543791
2,"Lon","195",2.37629237541955
2,"Lat","51",2.16836541722546
2,"Lat","57",1.68804016198101
2,"Lon","185",1.68803160187622
2,"Lon","207",1.64456864331396
2,"Lon","183",0.971050349085544
2,"Lon","181",0.875810089708011
3,"Lon","217",2.7351628189117
3,"Lon","223",1.73487594892481
3,"Lon","215",1.68930705341506
3,"Lon","219",1.66922173277442
3,"Lat","55",1.66125043762474
3,"Lon","213",1.57343373805566
3,"Lon","211",1.47493634746638
3,"Lon","221",1.36309218647614
3,"Lat","57",1.2342110221623
3,"Lat","53",1.02478793147657
