"Cell","Key","Value","Var_explained","Rank"
2,"Lon","209",0.102321850662679,1
2,"Lon","211",0.10157216206453,2
2,"Lon","205",0.0977777733445685,3
2,"Lon","207",0.0975627805724442,4
2,"Lon","203",0.0964493012630384,5
2,"Lon","213",0.0945534047195993,6
2,"Lon","201",0.0925002642663072,7
2,"Lon","199",0.0895236790270926,8
2,"Lat","53",0.0890842582739317,9
2,"Lon","215",0.0889171559024453,10
2,"Lat","55",0.0863883023145428,11
2,"Lon","217",0.0850223549569352,12
2,"Lon","197",0.0842053441917924,13
2,"Lon","195",0.0808963648218607,14
2,"Lon","219",0.0799057155104893,15
2,"Lon","193",0.0791070885881122,16
2,"Lat","51",0.0756350769303002,17
1,"Lat","53",0.0749719642712438,18
2,"Lon","221",0.074462763064195,19
1,"Lon","177",0.0742755112002949,20
2,"Lon","191",0.073840148029768,21
1,"Lon","175",0.0728761400031583,22
1,"Lon","173",0.0727332070915829,23
2,"Lat","57",0.0724694691646715,24
2,"Lon","223",0.0713717074632559,25
2,"Lon","189",0.0713146367367331,26
2,"Lon","185",0.0700373985010946,27
2,"Lon","187",0.0699553445906431,28
1,"Lon","171",0.0695346712943489,29
2,"Lon","183",0.0687297502100379,30
2,"Lon","181",0.0678550424264445,31
1,"Lat","51",0.0676365162040872,32
