"Key","Value","Improvement"
"Lon","203",42.0619100480435
"Lon","207",41.6958909624327
"Lon","205",40.8901402610418
"Lon","209",37.8575519805836
"Lon","201",37.6972774535579
"Lon","199",37.5870985968431
"Lon","211",35.6902963343873
"Lon","197",34.941373901589
"Lon","195",34.3626806114644
"Lon","193",33.6214426397764
"Lon","213",28.7798828508521
"Lon","191",25.9605344391839
"Lon","215",25.5604479374824
"Lon","189",22.9401866318412
"Lon","217",21.5709581892761
"Lon","187",19.3913847675367
"Lon","185",15.6479011906076
"Lon","219",13.1363848100136
"Lat","55",11.1247403623584
"Lon","183",9.78537560338737
"Lat","53",8.95550961283334
"Lat","51",8.88111361489791
"Lon","221",8.1585401086295
"Lon","181",7.66311788324128
"Lon","175",7.43777026437783
"Lon","179",7.22865536125937
"Lon","177",6.84318058660392
"Lat","57",5.05859944484291
"Lon","173",4.04300182830775
"Lon","223",2.06380080085273
