"Cell","Key","Value","Improvement"
1,"Lon","173",0.350159321411738
1,"Lat","51",0
2,"Lon","189",8.84319311194849
2,"Lon","187",8.84116989778113
2,"Lon","191",6.81219519969272
2,"Lon","185",6.53905469363735
2,"Lat","55",6.18958196135554
2,"Lon","193",5.97038358931104
2,"Lat","53",5.07056383850841
2,"Lon","195",5.00052505304529
2,"Lon","197",3.86470706994578
2,"Lon","183",3.80250818777358
2,"Lon","181",3.61895276394989
2,"Lon","199",3.44743387731705
2,"Lon","179",3.10990511647651
2,"Lat","57",2.85127392121649
2,"Lon","201",2.75712007189304
2,"Lon","177",1.76367272726065
2,"Lat","51",0.802762678675663
3,"Lon","211",6.248249875699
3,"Lon","215",5.35697616326684
3,"Lon","213",5.29654134662997
3,"Lat","57",5.0679395803852
3,"Lon","217",4.79051376944358
3,"Lon","209",4.63286268961997
3,"Lon","207",3.46874220551922
3,"Lat","55",1.77153935934598
3,"Lon","219",1.76694387782004
3,"Lon","205",1.74822553102672
3,"Lon","221",0.758050779338191
3,"Lat","53",0.378352345615212
3,"Lon","223",0.215619128635581
