"Cell","Key","Value","Var_explained","Rank"
2,"Lon","189",0.197413448868489,1
2,"Lon","187",0.197407027597037,2
2,"Lon","191",0.190967473388125,3
2,"Lon","185",0.190100580815708,4
3,"Lon","211",0.189177625299759,5
2,"Lat","55",0.188991425237681,6
2,"Lon","193",0.188295734058971,7
3,"Lon","215",0.186348903289774,8
3,"Lon","213",0.186157095438152,9
2,"Lat","53",0.185439888656364,10
3,"Lat","57",0.18543155979329,11
2,"Lon","195",0.185217599755405,12
3,"Lon","217",0.184551066532238,13
3,"Lon","209",0.184050713977043,14
2,"Lon","197",0.181612743824711,15
2,"Lon","183",0.181415337186837,16
2,"Lon","181",0.180832769497272,17
3,"Lon","207",0.180356031648015,18
2,"Lon","199",0.180288403335701,19
2,"Lon","179",0.179217155500751,20
2,"Lat","57",0.178396312538262,21
2,"Lon","201",0.178097487315224,22
3,"Lat","55",0.174969454012647,23
3,"Lon","219",0.174954868886263,24
2,"Lon","177",0.174944486917787,25
3,"Lon","205",0.174895460649684,26
2,"Lat","51",0.171894753299334,27
3,"Lon","221",0.171752846798562,28
3,"Lat","53",0.170547760974032,29
1,"Lon","173",0.170458282032847,30
3,"Lon","223",0.170031278746175,31
1,"Lat","51",0,32
